Datetime,AEP_MW
2004-12-27 040000,16223.0
2004-12-27 050000,16652.0
2004-12-27 060000,17317.0
2004-12-27 070000,18384.0
2004-12-27 080000,19366.0
2004-12-27 090000,19772.0
2004-12-27 100000,19792.0
2004-12-27 110000,19697.0
2004-12-27 120000,19193.0
2004-12-27 130000,18640.0
2004-12-27 140000,18066.0
2004-12-27 150000,17692.0
2004-12-27 160000,17522.0
2004-12-27 170000,17933.0
2004-12-27 180000,19353.0
2004-12-27 190000,20046.0
2004-12-27 200000,20127.0
2004-12-27 210000,20049.0
2004-12-27 220000,19751.0
2004-12-27 230000,19038.0
2004-12-28 000000,18133.0
2004-12-26 010000,15059.0
2004-12-26 020000,14617.0
2004-12-26 030000,14452.0
2004-12-26 040000,14465.0
2004-12-26 050000,14561.0
2004-12-26 060000,14862.0
2004-12-26 070000,15318.0
2004-12-26 080000,15865.0
2004-12-26 090000,16421.0
2004-12-26 100000,16751.0
2004-12-26 110000,16521.0
2004-12-26 120000,16047.0
2004-12-26 130000,15790.0
2004-12-26 140000,15702.0
2004-12-26 150000,15488.0
2004-12-26 160000,15607.0
2004-12-26 170000,16012.0
2004-12-26 180000,17243.0
2004-12-26 190000,17922.0
2004-12-26 200000,18064.0
2004-12-26 210000,18086.0
2004-12-26 220000,17834.0
2004-12-26 230000,17392.0
2004-12-27 000000,16842.0
2004-12-25 010000,16669.0
2004-12-25 020000,16218.0
2004-12-25 030000,16135.0
2004-12-25 040000,16107.0
2004-12-25 050000,16229.0
2004-12-25 060000,16470.0
2004-12-25 070000,16935.0
2004-12-25 080000,17548.0
2004-12-25 090000,17927.0
2004-12-25 100000,17837.0
2004-12-25 110000,17453.0
2004-12-25 120000,16891.0
2004-12-25 130000,15967.0
2004-12-25 140000,15088.0
2004-12-25 150000,14564.0
2004-12-25 160000,14394.0
2004-12-25 170000,14745.0
2004-12-25 180000,15856.0
2004-12-25 190000,16502.0
2004-12-25 200000,16678.0
2004-12-25 210000,16842.0
2004-12-25 220000,16621.0
2004-12-25 230000,16167.0
2004-12-26 000000,15676.0
2004-12-24 010000,15645.0
2004-12-24 020000,15265.0
2004-12-24 030000,15138.0
2004-12-24 040000,15068.0
2004-12-24 050000,15122.0
2004-12-24 060000,15441.0
2004-12-24 070000,15967.0
2004-12-24 080000,16628.0
2004-12-24 090000,17122.0
2004-12-24 100000,17621.0
2004-12-24 110000,17501.0
2004-12-24 120000,17122.0
2004-12-24 130000,16600.0
2004-12-24 140000,16206.0
2004-12-24 150000,15844.0
2004-12-24 160000,15762.0
2004-12-24 170000,16092.0
2004-12-24 180000,17048.0
2004-12-24 190000,17456.0
2004-12-24 200000,17407.0
2004-12-24 210000,17474.0
2004-12-24 220000,17772.0
2004-12-24 230000,17618.0
2004-12-25 000000,17147.0
2004-12-23 010000,15358.0
2004-12-23 020000,14851.0
2004-12-23 030000,14441.0
2004-12-23 040000,14105.0
2004-12-23 050000,14048.0
2004-12-23 060000,14394.0
2004-12-23 070000,15034.0
2004-12-23 080000,15783.0
2004-12-23 090000,16231.0
2004-12-23 100000,16576.0
2004-12-23 110000,16912.0
2004-12-23 120000,16991.0
2004-12-23 130000,16793.0
2004-12-23 140000,16764.0
2004-12-23 150000,16643.0
2004-12-23 160000,16666.0
2004-12-23 170000,16869.0
2004-12-23 180000,17916.0
2004-12-23 190000,18424.0
2004-12-23 200000,18343.0
2004-12-23 210000,18340.0
2004-12-23 220000,18011.0
2004-12-23 230000,17340.0
2004-12-24 000000,16383.0
2004-12-22 010000,15670.0
2004-12-22 020000,15135.0
2004-12-22 030000,14997.0
2004-12-22 040000,14929.0
2004-12-22 050000,15256.0
2004-12-22 060000,16174.0
2004-12-22 070000,17483.0
2004-12-22 080000,18645.0
2004-12-22 090000,18866.0
2004-12-22 100000,18802.0
2004-12-22 110000,18457.0
2004-12-22 120000,18021.0
2004-12-22 130000,17687.0
2004-12-22 140000,17590.0
2004-12-22 150000,17471.0
2004-12-22 160000,17406.0
2004-12-22 170000,17592.0
2004-12-22 180000,18668.0
2004-12-22 190000,19040.0
2004-12-22 200000,18819.0
2004-12-22 210000,18483.0
2004-12-22 220000,18381.0
2004-12-22 230000,17461.0
2004-12-23 000000,16353.0
2004-12-21 010000,18740.0
2004-12-21 020000,18247.0
2004-12-21 030000,17906.0
2004-12-21 040000,17749.0
2004-12-21 050000,17900.0
2004-12-21 060000,18590.0
2004-12-21 070000,19716.0
2004-12-21 080000,20555.0
2004-12-21 090000,20218.0
2004-12-21 100000,19783.0
2004-12-21 110000,19452.0
2004-12-21 120000,18866.0
2004-12-21 130000,18383.0
2004-12-21 140000,17945.0
2004-12-21 150000,17591.0
2004-12-21 160000,17362.0
2004-12-21 170000,17619.0
2004-12-21 180000,18664.0
2004-12-21 190000,19088.0
2004-12-21 200000,18998.0
2004-12-21 210000,18773.0
2004-12-21 220000,18394.0
2004-12-21 230000,17622.0
2004-12-22 000000,16484.0
2004-12-20 010000,19050.0
2004-12-20 020000,18940.0
2004-12-20 030000,19015.0
2004-12-20 040000,19178.0
2004-12-20 050000,19494.0
2004-12-20 060000,20392.0
2004-12-20 070000,21616.0
2004-12-20 080000,22554.0
2004-12-20 090000,22577.0
2004-12-20 100000,22321.0
2004-12-20 110000,22055.0
2004-12-20 120000,21388.0
2004-12-20 130000,21035.0
2004-12-20 140000,20542.0
2004-12-20 150000,20362.0
2004-12-20 160000,20119.0
2004-12-20 170000,20505.0
2004-12-20 180000,21373.0
2004-12-20 190000,22188.0
2004-12-20 200000,22038.0
2004-12-20 210000,21752.0
2004-12-20 220000,21621.0
2004-12-20 230000,20919.0
2004-12-21 000000,19554.0
2004-12-19 010000,14619.0
2004-12-19 020000,14245.0
2004-12-19 030000,14082.0
2004-12-19 040000,14123.0
2004-12-19 050000,14253.0
2004-12-19 060000,14437.0
2004-12-19 070000,15197.0
2004-12-19 080000,16025.0
2004-12-19 090000,16742.0
2004-12-19 100000,17345.0
2004-12-19 110000,17400.0
2004-12-19 120000,17291.0
2004-12-19 130000,17473.0
2004-12-19 140000,17464.0
2004-12-19 150000,17461.0
2004-12-19 160000,17683.0
2004-12-19 170000,18211.0
2004-12-19 180000,19749.0
2004-12-19 190000,20439.0
2004-12-19 200000,20805.0
2004-12-19 210000,20840.0
2004-12-19 220000,20670.0
2004-12-19 230000,20300.0
2004-12-20 000000,19719.0
2004-12-18 010000,16053.0
2004-12-18 020000,15562.0
2004-12-18 030000,15439.0
2004-12-18 040000,15498.0
2004-12-18 050000,15743.0
2004-12-18 060000,16126.0
2004-12-18 070000,16793.0
2004-12-18 080000,17583.0
2004-12-18 090000,18108.0
2004-12-18 100000,18035.0
2004-12-18 110000,17599.0
2004-12-18 120000,17022.0
2004-12-18 130000,16390.0
2004-12-18 140000,15921.0
2004-12-18 150000,15619.0
2004-12-18 160000,15475.0
2004-12-18 170000,16039.0
2004-12-18 180000,17080.0
2004-12-18 190000,17479.0
2004-12-18 200000,17431.0
2004-12-18 210000,17458.0
2004-12-18 220000,17162.0
2004-12-18 230000,16561.0
2004-12-19 000000,15645.0
2004-12-17 010000,15893.0
2004-12-17 020000,15503.0
2004-12-17 030000,15315.0
2004-12-17 040000,15264.0
2004-12-17 050000,15596.0
2004-12-17 060000,16544.0
2004-12-17 070000,18227.0
2004-12-17 080000,19281.0
2004-12-17 090000,19052.0
2004-12-17 100000,18758.0
2004-12-17 110000,18254.0
2004-12-17 120000,17654.0
2004-12-17 130000,17236.0
2004-12-17 140000,16818.0
2004-12-17 150000,16450.0
2004-12-17 160000,16250.0
2004-12-17 170000,16581.0
2004-12-17 180000,17953.0
2004-12-17 190000,18650.0
2004-12-17 200000,18653.0
2004-12-17 210000,18645.0
2004-12-17 220000,18444.0
2004-12-17 230000,17832.0
2004-12-18 000000,16906.0
2004-12-16 010000,17381.0
2004-12-16 020000,17048.0
2004-12-16 030000,16862.0
2004-12-16 040000,16876.0
2004-12-16 050000,17185.0
2004-12-16 060000,18127.0
2004-12-16 070000,19901.0
2004-12-16 080000,20605.0
2004-12-16 090000,20312.0
2004-12-16 100000,19945.0
2004-12-16 110000,19364.0
2004-12-16 120000,18559.0
2004-12-16 130000,17977.0
2004-12-16 140000,17693.0
2004-12-16 150000,17396.0
2004-12-16 160000,17246.0
2004-12-16 170000,17669.0
2004-12-16 180000,18921.0
2004-12-16 190000,19446.0
2004-12-16 200000,19506.0
2004-12-16 210000,19477.0
2004-12-16 220000,19068.0
2004-12-16 230000,18062.0
2004-12-17 000000,16826.0
2004-12-15 010000,17126.0
2004-12-15 020000,16709.0
2004-12-15 030000,16618.0
2004-12-15 040000,16546.0
2004-12-15 050000,16905.0
2004-12-15 060000,17889.0
2004-12-15 070000,19542.0
2004-12-15 080000,20491.0
2004-12-15 090000,20295.0
2004-12-15 100000,19843.0
2004-12-15 110000,19422.0
2004-12-15 120000,19050.0
2004-12-15 130000,18519.0
2004-12-15 140000,18301.0
2004-12-15 150000,17748.0
2004-12-15 160000,17696.0
2004-12-15 170000,18153.0
2004-12-15 180000,19645.0
2004-12-15 190000,20441.0
2004-12-15 200000,20502.0
2004-12-15 210000,20486.0
2004-12-15 220000,20274.0
2004-12-15 230000,19304.0
2004-12-16 000000,18139.0
2004-12-14 010000,16704.0
2004-12-14 020000,16281.0
2004-12-14 030000,16064.0
2004-12-14 040000,16155.0
2004-12-14 050000,16500.0
2004-12-14 060000,17338.0
2004-12-14 070000,18923.0
2004-12-14 080000,19920.0
2004-12-14 090000,19679.0
2004-12-14 100000,19432.0
2004-12-14 110000,19293.0
2004-12-14 120000,19182.0
2004-12-14 130000,19022.0
2004-12-14 140000,18917.0
2004-12-14 150000,18750.0
2004-12-14 160000,18749.0
2004-12-14 170000,19204.0
2004-12-14 180000,20431.0
2004-12-14 190000,20996.0
2004-12-14 200000,20837.0
2004-12-14 210000,20689.0
2004-12-14 220000,20285.0
2004-12-14 230000,19248.0
2004-12-15 000000,18021.0
2004-12-13 010000,14308.0
2004-12-13 020000,14116.0
2004-12-13 030000,14021.0
2004-12-13 040000,14052.0
2004-12-13 050000,14408.0
2004-12-13 060000,15501.0
2004-12-13 070000,17190.0
2004-12-13 080000,18404.0
2004-12-13 090000,18474.0
2004-12-13 100000,18536.0
2004-12-13 110000,18575.0
2004-12-13 120000,18493.0
2004-12-13 130000,18435.0
2004-12-13 140000,18492.0
2004-12-13 150000,18438.0
2004-12-13 160000,18484.0
2004-12-13 170000,18945.0
2004-12-13 180000,20103.0
2004-12-13 190000,20564.0
2004-12-13 200000,20447.0
2004-12-13 210000,20311.0
2004-12-13 220000,19814.0
2004-12-13 230000,18762.0
2004-12-14 000000,17504.0
2004-12-12 010000,14153.0
2004-12-12 020000,13683.0
2004-12-12 030000,13427.0
2004-12-12 040000,13373.0
2004-12-12 050000,13460.0
2004-12-12 060000,13704.0
2004-12-12 070000,14157.0
2004-12-12 080000,14802.0
2004-12-12 090000,15422.0
2004-12-12 100000,15757.0
2004-12-12 110000,15688.0
2004-12-12 120000,15728.0
2004-12-12 130000,15848.0
2004-12-12 140000,15678.0
2004-12-12 150000,15388.0
2004-12-12 160000,15505.0
2004-12-12 170000,16012.0
2004-12-12 180000,16918.0
2004-12-12 190000,17200.0
2004-12-12 200000,17245.0
2004-12-12 210000,16986.0
2004-12-12 220000,16650.0
2004-12-12 230000,15860.0
2004-12-13 000000,14939.0
2004-12-11 010000,13881.0
2004-12-11 020000,13431.0
2004-12-11 030000,13099.0
2004-12-11 040000,13042.0
2004-12-11 050000,13204.0
2004-12-11 060000,13629.0
2004-12-11 070000,14268.0
2004-12-11 080000,15105.0
2004-12-11 090000,15708.0
2004-12-11 100000,16234.0
2004-12-11 110000,16452.0
2004-12-11 120000,16327.0
2004-12-11 130000,16159.0
2004-12-11 140000,16012.0
2004-12-11 150000,15889.0
2004-12-11 160000,15814.0
2004-12-11 170000,16382.0
2004-12-11 180000,17323.0
2004-12-11 190000,17381.0
2004-12-11 200000,17048.0
2004-12-11 210000,16902.0
2004-12-11 220000,16611.0
2004-12-11 230000,15910.0
2004-12-12 000000,14948.0
2004-12-10 010000,13815.0
2004-12-10 020000,13451.0
2004-12-10 030000,13122.0
2004-12-10 040000,13096.0
2004-12-10 050000,13333.0
2004-12-10 060000,14167.0
2004-12-10 070000,15812.0
2004-12-10 080000,16831.0
2004-12-10 090000,16861.0
2004-12-10 100000,16645.0
2004-12-10 110000,16593.0
2004-12-10 120000,16493.0
2004-12-10 130000,16361.0
2004-12-10 140000,16226.0
2004-12-10 150000,16044.0
2004-12-10 160000,15886.0
2004-12-10 170000,16221.0
2004-12-10 180000,17147.0
2004-12-10 190000,17256.0
2004-12-10 200000,17051.0
2004-12-10 210000,16840.0
2004-12-10 220000,16587.0
2004-12-10 230000,15789.0
2004-12-11 000000,14772.0
2004-12-09 010000,14507.0
2004-12-09 020000,14036.0
2004-12-09 030000,13918.0
2004-12-09 040000,13839.0
2004-12-09 050000,14140.0
2004-12-09 060000,14968.0
2004-12-09 070000,16659.0
2004-12-09 080000,17512.0
2004-12-09 090000,17473.0
2004-12-09 100000,17338.0
2004-12-09 110000,17417.0
2004-12-09 120000,17334.0
2004-12-09 130000,17280.0
2004-12-09 140000,17233.0
2004-12-09 150000,17047.0
2004-12-09 160000,17037.0
2004-12-09 170000,17392.0
2004-12-09 180000,18054.0
2004-12-09 190000,18180.0
2004-12-09 200000,17854.0
2004-12-09 210000,17699.0
2004-12-09 220000,17106.0
2004-12-09 230000,16127.0
2004-12-10 000000,14876.0
2004-12-08 010000,13277.0
2004-12-08 020000,12886.0
2004-12-08 030000,12670.0
2004-12-08 040000,12680.0
2004-12-08 050000,12980.0
2004-12-08 060000,13932.0
2004-12-08 070000,15795.0
2004-12-08 080000,16793.0
2004-12-08 090000,16628.0
2004-12-08 100000,16538.0
2004-12-08 110000,16466.0
2004-12-08 120000,16169.0
2004-12-08 130000,15988.0
2004-12-08 140000,15800.0
2004-12-08 150000,15568.0
2004-12-08 160000,15505.0
2004-12-08 170000,15918.0
2004-12-08 180000,17343.0
2004-12-08 190000,17776.0
2004-12-08 200000,17822.0
2004-12-08 210000,17875.0
2004-12-08 220000,17503.0
2004-12-08 230000,16477.0
2004-12-09 000000,15259.0
2004-12-07 010000,13562.0
2004-12-07 020000,13150.0
2004-12-07 030000,12930.0
2004-12-07 040000,12823.0
2004-12-07 050000,12963.0
2004-12-07 060000,13915.0
2004-12-07 070000,15577.0
2004-12-07 080000,16630.0
2004-12-07 090000,16554.0
2004-12-07 100000,16597.0
2004-12-07 110000,16431.0
2004-12-07 120000,16223.0
2004-12-07 130000,16054.0
2004-12-07 140000,15787.0
2004-12-07 150000,15538.0
2004-12-07 160000,15484.0
2004-12-07 170000,15782.0
2004-12-07 180000,16935.0
2004-12-07 190000,17249.0
2004-12-07 200000,17045.0
2004-12-07 210000,16958.0
2004-12-07 220000,16499.0
2004-12-07 230000,15426.0
2004-12-08 000000,14223.0
2004-12-06 010000,13563.0
2004-12-06 020000,13318.0
2004-12-06 030000,13204.0
2004-12-06 040000,13239.0
2004-12-06 050000,13556.0
2004-12-06 060000,14605.0
2004-12-06 070000,16104.0
2004-12-06 080000,17348.0
2004-12-06 090000,17211.0
2004-12-06 100000,17212.0
2004-12-06 110000,17260.0
2004-12-06 120000,17153.0
2004-12-06 130000,16879.0
2004-12-06 140000,16645.0
2004-12-06 150000,16432.0
2004-12-06 160000,16494.0
2004-12-06 170000,16755.0
2004-12-06 180000,17682.0
2004-12-06 190000,17901.0
2004-12-06 200000,17700.0
2004-12-06 210000,17382.0
2004-12-06 220000,16851.0
2004-12-06 230000,15682.0
2004-12-07 000000,14402.0
2004-12-05 010000,13960.0
2004-12-05 020000,13536.0
2004-12-05 030000,13430.0
2004-12-05 040000,13377.0
2004-12-05 050000,13484.0
2004-12-05 060000,13797.0
2004-12-05 070000,14271.0
2004-12-05 080000,14826.0
2004-12-05 090000,15369.0
2004-12-05 100000,15322.0
2004-12-05 110000,14774.0
2004-12-05 120000,14296.0
2004-12-05 130000,14018.0
2004-12-05 140000,13725.0
2004-12-05 150000,13488.0
2004-12-05 160000,13549.0
2004-12-05 170000,14089.0
2004-12-05 180000,15557.0
2004-12-05 190000,16124.0
2004-12-05 200000,16111.0
2004-12-05 210000,16216.0
2004-12-05 220000,15723.0
2004-12-05 230000,14975.0
2004-12-06 000000,14180.0
2004-12-04 010000,15123.0
2004-12-04 020000,14748.0
2004-12-04 030000,14662.0
2004-12-04 040000,14540.0
2004-12-04 050000,14626.0
2004-12-04 060000,15196.0
2004-12-04 070000,15893.0
2004-12-04 080000,16632.0
2004-12-04 090000,17069.0
2004-12-04 100000,16887.0
2004-12-04 110000,16460.0
2004-12-04 120000,15850.0
2004-12-04 130000,15261.0
2004-12-04 140000,14884.0
2004-12-04 150000,14602.0
2004-12-04 160000,14500.0
2004-12-04 170000,14812.0
2004-12-04 180000,16172.0
2004-12-04 190000,16364.0
2004-12-04 200000,16494.0
2004-12-04 210000,16418.0
2004-12-04 220000,16078.0
2004-12-04 230000,15557.0
2004-12-05 000000,14662.0
2004-12-03 010000,15309.0
2004-12-03 020000,14792.0
2004-12-03 030000,14581.0
2004-12-03 040000,14599.0
2004-12-03 050000,14848.0
2004-12-03 060000,15751.0
2004-12-03 070000,17454.0
2004-12-03 080000,18324.0
2004-12-03 090000,18082.0
2004-12-03 100000,17687.0
2004-12-03 110000,17439.0
2004-12-03 120000,16952.0
2004-12-03 130000,16601.0
2004-12-03 140000,16348.0
2004-12-03 150000,16038.0
2004-12-03 160000,15891.0
2004-12-03 170000,16114.0
2004-12-03 180000,17334.0
2004-12-03 190000,17888.0
2004-12-03 200000,17729.0
2004-12-03 210000,17782.0
2004-12-03 220000,17617.0
2004-12-03 230000,16824.0
2004-12-04 000000,15864.0
2004-12-02 010000,15575.0
2004-12-02 020000,15243.0
2004-12-02 030000,15087.0
2004-12-02 040000,15022.0
2004-12-02 050000,15354.0
2004-12-02 060000,16227.0
2004-12-02 070000,18049.0
2004-12-02 080000,18943.0
2004-12-02 090000,18728.0
2004-12-02 100000,18225.0
2004-12-02 110000,17885.0
2004-12-02 120000,17258.0
2004-12-02 130000,16796.0
2004-12-02 140000,16399.0
2004-12-02 150000,15969.0
2004-12-02 160000,15839.0
2004-12-02 170000,16290.0
2004-12-02 180000,17567.0
2004-12-02 190000,18361.0
2004-12-02 200000,18458.0
2004-12-02 210000,18338.0
2004-12-02 220000,18064.0
2004-12-02 230000,17061.0
2004-12-03 000000,16047.0
2004-12-01 010000,14133.0
2004-12-01 020000,13700.0
2004-12-01 030000,13396.0
2004-12-01 040000,13353.0
2004-12-01 050000,13588.0
2004-12-01 060000,14460.0
2004-12-01 070000,16015.0
2004-12-01 080000,16999.0
2004-12-01 090000,17017.0
2004-12-01 100000,17003.0
2004-12-01 110000,17147.0
2004-12-01 120000,16914.0
2004-12-01 130000,16620.0
2004-12-01 140000,16321.0
2004-12-01 150000,15997.0
2004-12-01 160000,15972.0
2004-12-01 170000,16284.0
2004-12-01 180000,17657.0
2004-12-01 190000,18428.0
2004-12-01 200000,18400.0
2004-12-01 210000,18384.0
2004-12-01 220000,18078.0
2004-12-01 230000,17174.0
2004-12-02 000000,16165.0
2004-11-30 010000,14437.0
2004-11-30 020000,14061.0
2004-11-30 030000,13843.0
2004-11-30 040000,13818.0
2004-11-30 050000,14062.0
2004-11-30 060000,14942.0
2004-11-30 070000,16480.0
2004-11-30 080000,17314.0
2004-11-30 090000,17206.0
2004-11-30 100000,17120.0
2004-11-30 110000,17065.0
2004-11-30 120000,16863.0
2004-11-30 130000,16814.0
2004-11-30 140000,16749.0
2004-11-30 150000,16616.0
2004-11-30 160000,16787.0
2004-11-30 170000,17233.0
2004-11-30 180000,18123.0
2004-11-30 190000,18388.0
2004-11-30 200000,18189.0
2004-11-30 210000,17797.0
2004-11-30 220000,17247.0
2004-11-30 230000,16103.0
2004-12-01 000000,14902.0
2004-11-29 010000,14484.0
2004-11-29 020000,14185.0
2004-11-29 030000,14003.0
2004-11-29 040000,14075.0
2004-11-29 050000,14413.0
2004-11-29 060000,15361.0
2004-11-29 070000,16980.0
2004-11-29 080000,17907.0
2004-11-29 090000,17740.0
2004-11-29 100000,17617.0
2004-11-29 110000,17486.0
2004-11-29 120000,17275.0
2004-11-29 130000,17079.0
2004-11-29 140000,16999.0
2004-11-29 150000,16737.0
2004-11-29 160000,16660.0
2004-11-29 170000,16922.0
2004-11-29 180000,17949.0
2004-11-29 190000,18246.0
2004-11-29 200000,18179.0
2004-11-29 210000,17914.0
2004-11-29 220000,17355.0
2004-11-29 230000,16441.0
2004-11-30 000000,15234.0
2004-11-28 010000,12678.0
2004-11-28 020000,12292.0
2004-11-28 030000,12015.0
2004-11-28 040000,11934.0
2004-11-28 050000,12077.0
2004-11-28 060000,12253.0
2004-11-28 070000,12690.0
2004-11-28 080000,13423.0
2004-11-28 090000,14082.0
2004-11-28 100000,14509.0
2004-11-28 110000,14606.0
2004-11-28 120000,14716.0
2004-11-28 130000,14567.0
2004-11-28 140000,14565.0
2004-11-28 150000,14347.0
2004-11-28 160000,14318.0
2004-11-28 170000,14675.0
2004-11-28 180000,15910.0
2004-11-28 190000,16406.0
2004-11-28 200000,16582.0
2004-11-28 210000,16447.0
2004-11-28 220000,16162.0
2004-11-28 230000,15528.0
2004-11-29 000000,14837.0
2004-11-27 010000,13163.0
2004-11-27 020000,12878.0
2004-11-27 030000,12648.0
2004-11-27 040000,12607.0
2004-11-27 050000,12859.0
2004-11-27 060000,13113.0
2004-11-27 070000,13717.0
2004-11-27 080000,14321.0
2004-11-27 090000,14807.0
2004-11-27 100000,15000.0
2004-11-27 110000,14857.0
2004-11-27 120000,14443.0
2004-11-27 130000,14237.0
2004-11-27 140000,13888.0
2004-11-27 150000,13793.0
2004-11-27 160000,13907.0
2004-11-27 170000,14364.0
2004-11-27 180000,15281.0
2004-11-27 190000,15417.0
2004-11-27 200000,15368.0
2004-11-27 210000,15237.0
2004-11-27 220000,14906.0
2004-11-27 230000,14229.0
2004-11-28 000000,13428.0
2004-11-26 010000,13332.0
2004-11-26 020000,13123.0
2004-11-26 030000,13091.0
2004-11-26 040000,13156.0
2004-11-26 050000,13402.0
2004-11-26 060000,13919.0
2004-11-26 070000,14563.0
2004-11-26 080000,15072.0
2004-11-26 090000,15427.0
2004-11-26 100000,15493.0
2004-11-26 110000,15247.0
2004-11-26 120000,14915.0
2004-11-26 130000,14691.0
2004-11-26 140000,14366.0
2004-11-26 150000,14027.0
2004-11-26 160000,13989.0
2004-11-26 170000,14218.0
2004-11-26 180000,15132.0
2004-11-26 190000,15465.0
2004-11-26 200000,15375.0
2004-11-26 210000,15231.0
2004-11-26 220000,15008.0
2004-11-26 230000,14445.0
2004-11-27 000000,13781.0
2004-11-25 010000,12244.0
2004-11-25 020000,11750.0
2004-11-25 030000,11480.0
2004-11-25 040000,11438.0
2004-11-25 050000,11427.0
2004-11-25 060000,11657.0
2004-11-25 070000,12183.0
2004-11-25 080000,12850.0
2004-11-25 090000,13747.0
2004-11-25 100000,14652.0
2004-11-25 110000,15072.0
2004-11-25 120000,14980.0
2004-11-25 130000,14262.0
2004-11-25 140000,13472.0
2004-11-25 150000,13036.0
2004-11-25 160000,12847.0
2004-11-25 170000,12962.0
2004-11-25 180000,13618.0
2004-11-25 190000,14104.0
2004-11-25 200000,14314.0
2004-11-25 210000,14500.0
2004-11-25 220000,14583.0
2004-11-25 230000,14279.0
2004-11-26 000000,13784.0
2004-11-24 010000,12829.0
2004-11-24 020000,12420.0
2004-11-24 030000,12192.0
2004-11-24 040000,12146.0
2004-11-24 050000,12349.0
2004-11-24 060000,13180.0
2004-11-24 070000,14564.0
2004-11-24 080000,15665.0
2004-11-24 090000,15943.0
2004-11-24 100000,16226.0
2004-11-24 110000,16332.0
2004-11-24 120000,16350.0
2004-11-24 130000,16202.0
2004-11-24 140000,16062.0
2004-11-24 150000,15836.0
2004-11-24 160000,15663.0
2004-11-24 170000,15679.0
2004-11-24 180000,16202.0
2004-11-24 190000,16360.0
2004-11-24 200000,16068.0
2004-11-24 210000,15811.0
2004-11-24 220000,15325.0
2004-11-24 230000,14345.0
2004-11-25 000000,13165.0
2004-11-23 010000,13158.0
2004-11-23 020000,12767.0
2004-11-23 030000,12539.0
2004-11-23 040000,12462.0
2004-11-23 050000,12655.0
2004-11-23 060000,13484.0
2004-11-23 070000,15037.0
2004-11-23 080000,15885.0
2004-11-23 090000,15803.0
2004-11-23 100000,15860.0
2004-11-23 110000,15942.0
2004-11-23 120000,15784.0
2004-11-23 130000,15615.0
2004-11-23 140000,15500.0
2004-11-23 150000,15257.0
2004-11-23 160000,15161.0
2004-11-23 170000,15357.0
2004-11-23 180000,16153.0
2004-11-23 190000,16388.0
